frame,present_frame,present_count,present_reason,emulated_timestamp,intended_offset_ms,output_start_offset_ms,sync_gpu_ms,enqueue_offset_ms,queue_delay_ms,actual_offset_ms,cpu_slices,cpu_throttle_calls,last_throttle_target_offset_ms,last_throttle_end_offset_ms,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
40,39,177,1,2574978120,0.129125,-0.042042,0.000000,-0.042042,0.042042,0.131750,618,2,-0.728875,-0.728792,11.633292,11.643340,6.836088,0.000000,4.920125,4.901889,0.018194,0.029958,0.132917,0.610250,638,8184494,160083,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
41,40,179,1,2583086220,-4.916459,-0.058625,0.000166,-0.058459,0.058459,0.037916,614,0,-22.457792,-22.457709,21.728917,21.475073,21.428427,0.000000,0.000209,0.000000,0.000000,0.037750,0.019583,0.926126,645,8025230,150769,0,302,0,302,0,0,0,0,0,0,23497,14400,4680,4417,0
42,41,181,1,2591194320,0.124417,-0.055792,0.000167,-0.055625,0.055625,0.124458,615,2,-0.733583,-0.733500,11.642458,11.662573,6.766298,0.000000,4.988459,4.988181,0.000194,0.026667,0.131583,0.289208,636,8168987,157482,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
43,42,183,1,2599302420,-5.116875,-0.058208,0.000000,-0.058208,0.058208,0.040583,614,0,-22.658208,-22.658125,21.924625,21.743501,21.715594,0.000000,0.000250,0.000000,0.000000,0.040500,0.034917,0.913833,639,8071754,165612,0,302,0,302,0,0,0,0,0,0,21666,14400,3510,3756,0
44,43,185,1,2607410520,0.062000,-0.046958,0.000083,-0.046875,0.046875,0.062000,612,2,-0.796000,-0.795958,11.504458,11.384163,6.696211,0.000000,4.854334,4.853763,0.000487,0.027459,0.043458,0.303334,639,8091628,142035,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
45,44,187,1,2615518620,-5.006833,-0.049625,0.000000,-0.049625,0.049625,0.036375,616,0,-22.548167,-22.548125,21.752167,21.611795,21.579118,0.000000,0.000333,0.000000,0.000000,0.036167,0.010416,0.762375,642,8087125,161030,0,302,0,302,0,0,0,0,0,0,21629,14400,3510,3719,0
46,45,189,1,2623626720,0.142292,-0.052916,0.000041,-0.052875,0.052875,0.142334,618,2,-0.715708,-0.715541,11.534208,11.550825,6.691567,0.000000,5.037584,5.037222,0.000320,0.025375,0.133667,1.056292,638,8184465,156150,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
47,46,191,1,2631734820,-4.813750,-0.061708,0.000208,-0.061500,0.061500,0.031875,613,0,-22.355083,-22.354916,21.639375,21.399015,21.390004,0.000000,0.000167,0.000000,0.000000,0.031667,0.008875,0.926126,644,8025243,145177,0,302,0,302,0,0,0,0,0,0,23431,14400,4680,4351,0
48,47,193,1,2639842920,0.109542,-0.053625,0.000042,-0.053583,0.053583,0.109625,614,2,-0.748458,-0.746042,11.760042,11.737865,6.621338,0.000000,5.188292,5.180723,0.007402,0.032875,0.084583,0.469292,634,8153553,152240,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49,48,195,1,2647951020,-4.701042,-0.058625,0.000000,-0.058625,0.058625,0.039583,614,0,-22.242375,-22.239959,21.493917,21.328778,21.334964,0.000000,0.000208,0.000000,0.000000,0.039375,0.009875,0.862041,639,8071751,157259,0,302,0,302,0,0,0,0,0,0,21615,14400,3510,3705,0
