frame,present_frame,present_count,present_reason,emulated_timestamp,intended_offset_ms,output_start_offset_ms,sync_gpu_ms,enqueue_offset_ms,queue_delay_ms,actual_offset_ms,cpu_slices,cpu_throttle_calls,last_throttle_target_offset_ms,last_throttle_end_offset_ms,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
30,29,157,1,2493897120,0.102709,-0.052875,0.000209,-0.052666,0.052666,0.103250,618,2,-0.755291,-0.754791,11.423791,11.410604,6.930065,0.000000,4.650958,4.650348,0.000569,0.031417,0.082500,0.606625,639,8169035,166511,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
31,30,159,1,2502005220,-4.990542,-0.061834,0.000042,-0.061792,0.061792,0.041000,614,0,-22.531875,-22.531375,21.776584,21.613455,21.593384,0.000000,0.000209,0.000000,0.000000,0.040791,0.014167,1.244457,639,8071729,168117,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
32,31,161,1,2510113320,0.059125,-0.055583,0.000042,-0.055541,0.055541,0.059167,614,2,-0.798875,-0.798833,11.633666,11.540764,6.876519,0.000000,4.797625,4.775555,0.021904,0.031334,0.043000,0.573584,641,8107029,149505,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
33,32,163,1,2518221420,-4.887958,-0.038292,0.000084,-0.038208,0.038208,0.036750,615,0,-22.429292,-22.429250,21.630417,21.509196,21.514901,0.000000,0.000167,0.000000,0.000000,0.036583,0.010125,1.251459,642,8087156,167579,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
34,33,165,1,2526329520,0.082167,-0.068375,0.000125,-0.068250,0.068250,0.083917,618,2,-0.775833,-0.769791,11.713208,11.659146,6.835105,0.000000,4.937542,4.918139,0.019320,0.025625,0.085250,0.619625,638,8153608,161534,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
35,34,167,1,2534437620,-5.671209,-0.054250,0.000083,-0.054167,0.054167,0.049791,614,0,-23.212542,-23.206500,22.436709,22.268746,22.057498,0.000000,0.000209,0.000000,0.000000,0.049500,0.011500,1.222083,645,8071579,156127,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
36,35,169,1,2542545720,0.145042,-0.033500,0.000042,-0.033458,0.033458,0.149333,618,2,-0.712958,-0.712958,10.867083,10.897812,7.387152,0.000000,3.849334,3.849098,0.000194,0.033708,0.165375,0.308375,639,8176535,162015,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
37,36,171,1,2550653820,-5.196375,-0.057333,0.000041,-0.057292,0.057292,0.043292,613,0,-22.737708,-22.737708,22.024750,21.783175,21.758959,0.000000,0.000334,0.000000,0.000000,0.043042,0.021458,0.921709,637,8033330,161145,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
38,37,173,1,2558761920,0.037583,-0.058708,0.000208,-0.058500,0.058500,0.037708,613,2,-0.820417,-0.820250,11.449375,11.343916,6.868082,0.000000,4.611583,4.611263,0.000279,0.027292,0.019750,0.446291,640,8105300,145450,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
39,38,175,1,2566870020,-4.943250,-0.056334,0.000084,-0.056250,0.056250,0.036458,616,0,-22.484584,-22.484417,21.664167,21.533201,21.519781,0.000000,0.000210,0.000000,0.000000,0.036208,0.010500,1.068458,642,8088883,164587,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
