frame,acquire_begin_time_s,acquire_end_time_s,registered_time_s,presented_time_s
55,540385.019363125,540385.024818292,540385.024866542,540385.073212000
56,540385.035479750,540385.041128417,540385.041185667,540385.089878375
57,540385.052545625,540385.058112125,540385.058157042,540385.106544833
58,540385.069404417,540385.074904708,540385.074953875,540385.123211333
59,540385.085700042,540385.091505500,540385.091565375,540385.139877750
60,540385.102513083,540385.108276333,540385.108331958,540385.156544167
61,540385.119556208,540385.124834542,540385.124882625,540385.173210583
62,540385.135898292,540385.141738625,540385.141784583,540385.189877042
63,540385.153608250,540385.158144125,540385.158192417,540385.206543417
64,540385.169056375,540385.174811833,540385.174865250,540385.223209875
65,540385.185825250,540385.191579250,540385.191628125,540385.239876334
66,540385.203153125,540385.208247750,540385.208303375,540385.256542750
67,540385.219104458,540385.224938208,540385.224985708,540385.273209209
68,540385.235608750,540385.241635667,540385.241684292,540385.289875667
69,540385.252278709,540385.258160292,540385.258203250,540385.306542125
70,540385.268787125,540385.274834792,540385.274877375,540385.323208500
71,540385.285569459,540385.291563792,540385.291606750,540385.339874917
72,540385.302041208,540385.308213792,540385.308268375,540385.356541333
73,540385.318943375,540385.324793167,540385.324840625,540385.373207834
74,540385.335787167,540385.341565292,540385.341608125,540385.389874250
75,540385.352323250,540385.358148042,540385.358195458,540385.406540667
76,540385.368662625,540385.374801750,540385.374843708,540385.423207125
77,540385.385644500,540385.391520500,540385.391584208,540385.439873542
78,540385.402820167,540385.407916417,540385.407970750,540385.456539958
79,540385.419374000,540385.425197625,540385.425254209,540385.473206417
80,540385.436769875,540385.441579833,540385.441625083,540385.489872875
81,540385.452777750,540385.458154292,540385.458202375,540385.506539333
82,540385.469538083,540385.474882333,540385.474929583,540385.523205708
83,540385.485729167,540385.491589833,540385.491641000,540385.539872167
84,540385.502272167,540385.508199792,540385.508241375,540385.556538583
85,540385.519114417,540385.524927667,540385.524976542,540385.573205083
86,540385.536007458,540385.541554583,540385.541599292,540385.589871584
87,540385.552451834,540385.558267167,540385.558317375,540385.606537917
88,540385.568856834,540385.574882167,540385.574932458,540385.623204417
89,540385.586053958,540385.591534333,540385.591580209,540385.639870792
90,540385.602228875,540385.608260000,540385.608305417,540385.656537167
91,540385.618982583,540385.624887208,540385.624933750,540385.673203625
92,540385.635831708,540385.641516250,540385.641556750,540385.689870083
93,540385.651861167,540385.657986250,540385.658036458,540385.706536500
94,540385.668749625,540385.674830584,540385.674877125,540385.723202917
95,540385.685655042,540385.691507083,540385.691548042,540385.739869375
96,540385.702266208,540385.708128667,540385.708182125,540385.756535833
97,540385.718717375,540385.724489833,540385.724539875,540385.773202250
98,540385.736295750,540385.741515542,540385.741568292,540385.789868667
99,540385.752916417,540385.757803708,540385.757850959,540385.806535125
100,540385.768845125,540385.774675083,540385.774725958,540385.823201583
101,540385.785550167,540385.791467208,540385.791518667,540385.839868000
102,540385.802361708,540385.808193000,540385.808238542,540385.856534458
103,540385.818770958,540385.824805167,540385.824858958,540385.873200917
104,540385.836344250,540385.841210833,540385.841299500,540385.889867375
