frame,acquire_begin_time_s,acquire_end_time_s,registered_time_s,presented_time_s
55,541899.964418708,541899.964441292,541899.964483208,541899.968001209
56,541899.980811333,541899.980829625,541899.980867958,541899.984319708
57,541899.997599125,541899.997619000,541899.997653417,541900.001035083
58,541900.014493458,541900.014522292,541900.014564250,541900.017955333
59,541900.030846375,541900.030864542,541900.030900833,541900.034322167
60,541900.047767500,541900.047787625,541900.047823625,541900.051267333
61,541900.064445458,541900.064467583,541900.064504625,541900.068060625
62,541900.080730250,541900.080746458,541900.080777833,541900.084270875
63,541900.097961708,541900.097981625,541900.098023167,541900.101451958
64,541900.114601334,541900.114629708,541900.114672167,541900.124644792
65,541900.131067042,541900.131084708,541900.131128042,541900.134726708
66,541900.147866667,541900.147886750,541900.147925583,541900.151449042
67,541900.164789959,541900.164811333,541900.164857667,541900.168308042
68,541900.181116500,541900.181135208,541900.181169458,541900.184608958
69,541900.197747000,541900.197764750,541900.197798833,541900.201183125
70,541900.214514750,541900.214532708,541900.214570292,541900.217997042
71,541900.231278875,541900.231297375,541900.231333042,541900.234797958
72,541900.247966500,541900.247983958,541900.248019417,541900.251482667
73,541900.264400250,541900.264417417,541900.264451917,541900.267887792
74,541900.281331167,541900.281349625,541900.281385875,541900.284770958
75,541900.297929417,541900.297956292,541900.297993208,541900.301365625
76,541900.314490917,541900.314509667,541900.314545750,541900.317961958
77,541900.331218875,541900.331237042,541900.331270167,541900.334644042
78,541900.347939875,541900.347957083,541900.347992708,541900.351398750
79,541900.365400542,541900.365418375,541900.365454583,541900.368853375
80,541900.381401292,541900.381421417,541900.381456584,541900.384868458
81,541900.398178292,541900.398201959,541900.398243084,541900.408789167
82,541900.414648500,541900.414669083,541900.414716667,541900.418226000
83,541900.431494333,541900.431513125,541900.431551667,541900.435030458
84,541900.448168334,541900.448187625,541900.448227375,541900.451800250
85,541900.464636292,541900.464653417,541900.464692500,541900.468108667
86,541900.481483292,541900.481505792,541900.481544417,541900.484988917
87,541900.498138708,541900.498155375,541900.498190792,541900.501631667
88,541900.514631792,541900.514647625,541900.514683208,541900.518133000
89,541900.531523583,541900.531540542,541900.531578583,541900.534986292
90,541900.548291792,541900.548312750,541900.548350208,541900.551738542
91,541900.564637958,541900.564656917,541900.564693333,541900.568125625
92,541900.581625125,541900.581648125,541900.581688125,541900.585176375
93,541900.598211334,541900.598229458,541900.598263875,541900.601735625
94,541900.614751708,541900.614769583,541900.614804125,541900.618166583
95,541900.631569833,541900.631587958,541900.631623500,541900.635056750
96,541900.648317417,541900.648335584,541900.648369500,541900.651810625
97,541900.664694542,541900.664709958,541900.664742667,541900.668225625
98,541900.681601875,541900.681622625,541900.681661042,541900.685108958
99,541900.698429667,541900.698448708,541900.698484250,541900.701940583
100,541900.714942042,541900.714959958,541900.714992917,541900.718417542
101,541900.731649667,541900.731666500,541900.731699417,541900.735134833
102,541900.748402125,541900.748427375,541900.748472333,541900.751917375
103,541900.764803625,541900.764822000,541900.764858458,541900.768318167
104,541900.781748583,541900.781765583,541900.781799417,541900.785235708
