frame,acquire_begin_time_s,acquire_end_time_s,registered_time_s,presented_time_s
85,541937.438594042,541937.438620458,541937.438675667,541937.442348458
86,541937.455605333,541937.455641917,541937.455705834,541937.459567542
87,541937.472073167,541937.472099917,541937.472138792,541937.475728042
88,541937.488501750,541937.488524583,541937.488568250,541937.493235833
89,541937.505484167,541937.505513000,541937.505555333,541937.509587375
90,541937.522142084,541937.522163833,541937.522204208,541937.526105875
91,541937.538815042,541937.538839958,541937.538892208,541937.542573167
92,541937.555494542,541937.555517208,541937.555560333,541937.559334875
93,541937.572138458,541937.572160292,541937.572203000,541937.575835917
94,541937.588661750,541937.588683875,541937.588731708,541937.592844500
95,541937.605843042,541937.605878458,541937.605937417,541937.609832667
96,541937.622479167,541937.622510708,541937.622556833,541937.626813833
97,541937.638642750,541937.638662542,541937.638704875,541937.642300000
98,541937.655673125,541937.655703875,541937.655746042,541937.659388250
99,541937.672299792,541937.672328875,541937.672369958,541937.676037958
100,541937.688768542,541937.688791250,541937.688834875,541937.693278333
101,541937.705527125,541937.705549167,541937.705590375,541937.709512083
102,541937.722308250,541937.722335500,541937.722373709,541937.726026125
103,541937.738738125,541937.738758333,541937.738798584,541937.742460250
104,541937.755791500,541937.755813792,541937.755857625,541937.759491792
