frame,acquire_begin_time_s,acquire_end_time_s,registered_time_s,presented_time_s
39,539600.323266083,539600.323339708,539600.323469667,539600.346281917
40,539600.357878792,539600.357929292,539600.358001708,539600.379615042
41,539600.393441917,539600.393482167,539600.393540583,539600.412948250
42,539600.430590833,539600.430669625,539600.430788250,539600.462947958
43,539600.472876750,539600.472924458,539600.472998500,539600.496281125
44,539600.507831250,539600.507878792,539600.508034708,539600.529614250
45,539600.542633125,539600.542730417,539600.542863833,539600.562947375
46,539600.586011292,539600.586063417,539600.586135750,539600.612947125
47,539600.622780667,539600.622862250,539600.622980542,539600.646280292
48,539600.656677958,539600.656770583,539600.656900959,539600.679613417
49,539600.698897042,539600.698952292,539600.699062417,539600.729613125
50,539600.735904292,539600.735975792,539600.736100583,539600.762946208
51,539600.776426583,539600.776467750,539600.776536042,539600.796279375
52,539600.814257625,539600.814303708,539600.814402792,539600.846279125
53,539600.855068042,539600.855142250,539600.855268583,539600.879612250
54,539600.890098959,539600.890153083,539600.890228250,539600.912945417
55,539600.924704125,539600.924745125,539600.924807083,539600.946278500
56,539600.958635792,539600.958725584,539600.958848750,539600.979611583
57,539601.001993583,539601.002034458,539601.002099500,539601.029611292
58,539601.039993375,539601.040078333,539601.040214958,539601.062944417
59,539601.073817958,539601.073871708,539601.073942250,539601.096277500
60,539601.108037917,539601.108132208,539601.108251917,539601.129610583
61,539601.146424458,539601.146466583,539601.146531875,539601.179610292
62,539601.183669375,539601.183741833,539601.183843417,539601.212943417
63,539601.218658833,539601.218740667,539601.218861375,539601.246276542
64,539601.255359500,539601.255399625,539601.255465792,539601.279609667
65,539601.290482500,539601.290584875,539601.290672917,539601.312942667
66,539601.326745875,539601.326826042,539601.326943167,539601.346275875
67,539601.363008917,539601.363048542,539601.363115208,539601.396275500
68,539601.406171542,539601.406217917,539601.406283833,539601.429608583
69,539601.441149417,539601.441195083,539601.441262417,539601.462941709
70,539601.484339375,539601.484411208,539601.484529667,539601.512941292
71,539601.524199667,539601.524246208,539601.524327958,539601.546274417
72,539601.559809333,539601.559879375,539601.560001917,539601.579607542
73,539601.598395833,539601.598466167,539601.598581917,539601.629607167
74,539601.640120333,539601.640203417,539601.640321458,539601.662940208
75,539601.678879000,539601.678952792,539601.679073875,539601.712939875
76,539601.719287333,539601.719380000,539601.719488417,539601.746272958
77,539601.762574458,539601.762651333,539601.762778042,539601.796272542
78,539601.804692667,539601.804757792,539601.804872625,539601.829605667
79,539601.846350958,539601.846409375,539601.846518375,539601.879605208
80,539601.889664083,539601.889732917,539601.889853083,539601.912938333
81,539601.926199167,539601.926287458,539601.926410833,539601.946271417
82,539601.960231208,539601.960305958,539601.960424708,539601.979604458
83,539601.994614792,539601.994681833,539601.994791167,539602.012937542
84,539602.036362625,539602.036437417,539602.036584042,539602.062937083
85,539602.079726042,539602.079797875,539602.079916042,539602.112936708
86,539602.121946750,539602.122021042,539602.122152792,539602.146269750
87,539602.164306292,539602.164386292,539602.164499792,539602.196269417
88,539602.205886875,539602.205943042,539602.206078708,539602.229602334
89,539602.239814250,539602.239856792,539602.239949042,539602.262935458
90,539602.280091333,539602.280129792,539602.280194500,539602.312935000
91,539602.316023792,539602.316077292,539602.316151583,539602.346268083
92,539602.359218125,539602.359263917,539602.359332833,539602.379601125
93,539602.397508792,539602.397581292,539602.397760625,539602.429600667
94,539602.432077958,539602.432111167,539602.432175750,539602.462933708
95,539602.473318125,539602.473404917,539602.473532667,539602.496266834
96,539602.508358458,539602.508428042,539602.508633542,539602.529599792
97,539602.550094375,539602.550143125,539602.550211917,539602.579599375
98,539602.592399625,539602.592491417,539602.592631292,539602.612932417
99,539602.635779083,539602.635822208,539602.635887250,539602.662931917
100,539602.675718833,539602.675786625,539602.675906375,539602.696265000
101,539602.712990250,539602.713034542,539602.713106292,539602.746264542
102,539602.749416750,539602.749502292,539602.749620458,539602.779597500
103,539602.791829000,539602.791881000,539602.791951292,539602.812930542
104,539602.835044167,539602.835087833,539602.835156208,539602.862930083
