frame,total_ms,cpu_wall_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms
12089,16.258500,16.393003,0.000000,6.082416,6.081708,0.000708,0.038125,0.139375,0.307709
12090,16.997083,16.861291,0.000000,6.014084,5.820028,0.193639,0.041250,0.010583,0.955292
12091,16.912833,16.924629,0.000000,6.117292,6.112875,0.004417,0.068250,0.039792,0.918292
12092,16.729584,16.702299,0.000000,5.666209,5.658501,0.007416,0.055833,0.014083,0.606666
12093,16.550958,16.496286,0.000000,6.134126,5.920153,0.213931,0.050625,0.014167,0.912501
12094,16.796250,16.845453,0.000000,6.076958,5.874194,0.202639,0.054708,0.020959,0.290792
12095,16.527125,16.481263,0.000000,6.038209,6.023334,0.014875,0.046792,0.012625,0.901833
12096,16.626625,16.550877,0.000000,6.225708,6.021486,0.204139,0.040792,0.011166,0.352916
12097,16.784292,16.857574,0.000000,5.923459,5.923070,0.000222,0.071125,0.013708,0.786584
12098,16.896083,16.887292,0.000000,0.500084,0.499445,0.000305,0.072667,0.016208,0.582417
12099,16.590917,16.490533,0.000000,5.946832,5.762861,0.183472,0.045208,0.019417,0.635625
12100,16.966416,17.047879,0.000000,5.385250,5.319236,0.065681,0.072792,0.042250,0.642125
12101,16.327750,16.275370,0.000000,4.931668,4.931001,0.000333,0.049334,0.028208,0.610750
12102,16.726250,16.723042,0.000000,5.471917,5.388986,0.082764,0.054042,0.015875,0.931334
12103,16.612625,16.601295,0.000000,4.978292,4.977833,0.000251,0.037167,0.031583,0.609208
12104,16.769375,16.696503,0.000000,5.325667,5.325209,0.000208,0.052542,0.013958,0.901667
12105,16.581125,16.595033,0.000000,6.035583,5.842736,0.192514,0.039542,0.039125,0.610458
12106,16.872167,16.851499,0.000000,5.474625,5.367736,0.106598,0.046542,0.022166,1.082708
12107,16.499333,16.516122,0.000000,5.271458,5.238667,0.032541,0.034917,0.031625,1.185500
12108,16.759125,16.701429,0.000000,5.589749,5.485444,0.103806,0.045375,0.015792,0.446084
12109,16.567875,16.595199,0.000000,5.004292,5.003749,0.000251,0.034292,0.034208,1.123833
12110,16.862709,16.815503,0.000000,5.619541,5.495861,0.123347,0.049291,0.015667,0.608625
12111,16.540083,16.606402,0.000000,5.215833,5.187319,0.028014,0.077833,0.032167,0.642417
12112,16.874292,16.822293,0.000000,5.904917,5.737986,0.166556,0.044291,0.036209,0.446916
12113,16.497666,16.434539,0.000000,5.448084,5.375084,0.072708,0.044167,0.016792,0.991166
12114,16.659084,16.664298,0.000000,5.573459,5.472778,0.100389,0.040083,0.018208,1.217416
12115,16.713666,16.727947,0.000000,5.372625,5.327541,0.044834,0.037750,0.029167,0.463834
12116,16.693792,16.678844,0.000000,5.440916,5.377834,0.062749,0.036625,0.040750,1.074875
12117,16.181333,16.210495,0.000000,5.569917,5.469986,0.099681,0.030417,0.150000,0.622875
12118,17.131209,17.010839,0.000000,4.796917,4.796500,0.000334,0.041208,0.027292,1.068875
12119,16.649541,16.637745,0.000000,4.945749,4.945459,0.000207,0.035167,0.016458,0.625208
12120,16.723584,16.708893,0.000000,5.110876,5.110334,0.000250,0.033166,0.009792,0.762292
12121,16.682500,16.658711,0.000000,4.917834,4.917375,0.000334,0.040833,0.012667,1.053126
