frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks
70605,16.958875,16.866203,11.687800,0.000000,5.636000,5.635195,0.000555,0.052291,0.031167,0.913082,632,8064544,145624,0,5408
70606,16.405166,16.278288,10.274627,0.000000,6.143041,5.974320,0.168638,0.048709,0.011708,0.653292,634,8079614,134727,0,5534
70607,16.523375,16.434334,10.615768,0.000000,6.199501,6.048321,0.151096,0.042584,0.064625,1.304458,649,8146220,143945,0,7578
70608,16.893875,16.692999,11.073787,0.000000,5.617874,5.508320,0.109346,0.044959,0.019541,0.657709,626,8003083,147810,0,5408
70609,16.783792,16.693724,10.717797,0.000000,6.281833,6.104237,0.177513,0.046208,0.010792,1.341875,632,8080170,139456,0,5408
70610,17.421875,17.321576,11.252678,0.000000,6.456750,6.443320,0.010388,0.063000,0.014417,0.291500,643,8102116,132711,0,7210
70611,15.959542,15.792054,13.440973,0.000000,2.490000,2.489252,0.000456,0.064666,0.022500,0.611333,628,8049138,150977,0,5408
70612,16.713958,16.615423,12.091862,0.000000,4.461792,4.461085,0.000457,0.063417,0.023208,0.294417,639,8087140,146650,0,7126
70613,16.540708,16.423698,10.908509,0.000000,5.476249,5.401917,0.074166,0.062834,0.038541,0.931083,654,8069005,139382,0,7533
70614,16.755459,16.612834,11.159499,0.000000,5.457042,5.373086,0.083748,0.054208,0.034292,0.974209,631,8080247,144534,0,5408
70615,16.626125,16.497761,11.312771,0.000000,5.192625,5.177585,0.014915,0.045875,0.047333,0.648042,639,8070972,148222,0,7210
70616,16.797083,16.667050,11.532215,0.000000,5.818542,5.741918,0.076624,0.052917,0.011958,0.921625,633,8080439,138841,0,5408
70617,16.644042,16.514692,11.100675,0.000000,5.487999,5.483293,0.004581,0.055041,0.051000,0.608417,632,8080203,145088,0,5408
70618,16.598166,16.481358,11.370878,0.000000,5.231291,5.223501,0.007582,0.051250,0.035500,1.270417,640,8055463,147346,0,7210
70619,16.788584,16.690708,11.799435,0.000000,4.886167,4.865251,0.017874,0.063375,0.036416,0.291250,632,8094732,143248,0,5408
70620,16.625333,16.454884,11.411709,0.000000,5.113917,5.098377,0.015415,0.047833,0.017542,0.968208,632,8065669,149712,0,5408
70621,16.592000,16.482168,11.683576,0.000000,5.346207,5.342959,0.003040,0.043792,0.030000,0.940333,645,8136059,147689,0,7210
70622,16.803667,16.668796,11.290655,0.000000,5.450375,5.368209,0.082041,0.043125,0.017833,0.659750,631,8029621,148879,0,5602
70623,16.705541,16.559981,11.393492,0.000000,5.254333,5.238877,0.015206,0.039667,0.009500,1.257417,631,8080193,152334,0,5408
70624,16.597167,16.494572,11.416495,0.000000,5.106541,5.093043,0.013373,0.045458,0.023500,0.614833,640,8055548,151636,0,7210
70625,16.765875,16.644709,10.787123,0.000000,5.854041,5.694028,0.159805,0.049958,0.018250,0.961708,634,8095645,141915,0,5408
70626,16.670042,16.556081,11.260413,0.000000,5.349792,5.302752,0.046832,0.044916,0.017667,0.621583,632,8080473,148961,0,5408
70627,16.618291,16.490937,11.428699,0.000000,5.099166,5.090418,0.008665,0.041584,0.053791,1.082791,640,8055311,152068,0,7210
70628,16.816667,16.688975,11.023336,0.000000,5.672208,5.553653,0.118347,0.039833,0.015042,0.610208,633,8095915,144222,0,5408
70629,16.508917,16.345785,11.220951,0.000000,5.180708,5.161460,0.019123,0.049500,0.016916,0.830458,628,8049109,147808,0,5408
70630,16.696666,16.575174,11.960619,0.000000,5.355042,5.350960,0.003915,0.042917,0.024542,0.917250,643,8101952,150279,0,7210
70631,17.067084,17.065423,11.114292,0.000000,6.063583,5.931320,0.132180,0.115791,0.020917,0.413792,628,8049270,137458,0,5408
70632,16.384291,16.153707,11.878747,0.000000,4.576875,4.575919,0.000706,0.051209,0.013833,0.960583,634,8111137,144690,0,5408
70633,16.640000,16.548664,11.082960,0.000000,5.927623,5.912209,0.015414,0.053084,0.017541,0.654250,638,8058241,142884,0,7210
70634,16.815334,16.724639,11.177350,0.000000,6.289084,6.280002,0.009082,0.048958,0.041792,0.970750,630,8092975,134009,0,5408
70635,16.647625,16.476572,10.784089,0.000000,5.713208,5.583612,0.129430,0.045708,0.010000,0.606375,634,8080229,143597,0,5408
70636,16.616541,16.505040,11.040072,0.000000,5.864333,5.862751,0.001457,0.052542,0.011833,0.927125,638,8055559,143332,0,7210
70637,16.627375,16.503538,10.631658,0.000000,6.162208,6.019029,0.143096,0.044125,0.011709,1.250834,632,8080238,133049,0,5408
70638,16.675459,16.579963,10.763485,0.000000,5.933417,5.789946,0.143388,0.050791,0.025250,0.317333,631,8080219,141026,0,5408
70639,16.718416,16.578514,11.298079,0.000000,5.727041,5.726751,0.000207,0.050375,0.013000,0.932791,641,8071027,144931,0,7210
70640,16.743084,16.618116,11.234558,0.000000,6.259000,6.253960,0.005040,0.044333,0.009708,0.289750,633,8095684,135345,0,5408
70641,16.735666,16.626688,10.760734,0.000000,5.830459,5.680779,0.149471,0.050459,0.010833,0.802417,633,8080195,141861,0,5408
70642,16.630459,16.494054,10.588362,0.000000,6.015000,5.850445,0.164471,0.047916,0.010042,0.304125,638,8055575,140722,0,7210
70643,16.686291,16.615614,10.718327,0.000000,6.340709,6.194571,0.146054,0.054709,0.036041,0.798792,632,8111104,135434,0,5408
70644,16.664375,16.484037,11.135415,0.000000,6.028959,6.027711,0.001248,0.049584,0.013583,0.676833,628,8049337,140640,0,5408
70645,16.509917,16.418593,11.062673,0.000000,5.855292,5.848460,0.006832,0.044208,0.012792,0.969208,640,8071011,139841,0,7210
70646,16.801083,16.674579,11.298168,0.000000,6.526791,6.522918,0.003873,0.049959,0.013541,0.957124,633,8095732,132832,0,5408
70647,16.776584,16.625633,11.321041,0.000000,5.838042,5.828960,0.008915,0.044666,0.012792,0.663292,631,8064745,143260,0,5408
70648,16.600750,16.466702,10.844407,0.000000,5.874875,5.834627,0.040248,0.041875,0.012083,1.313292,638,8055546,141886,0,7210
70649,16.756125,16.667953,11.385996,0.000000,6.393209,6.387711,0.005498,0.050083,0.017583,0.310958,632,8111124,133359,0,5408
70650,16.493791,16.372290,11.096379,0.000000,5.994959,5.974044,0.020915,0.051667,0.014667,0.972918,636,8079677,142433,0,5541
70651,16.785042,16.656825,11.672664,0.000000,5.555875,5.526459,0.029249,0.047958,0.027792,0.611459,641,8055372,147193,0,7210
70652,16.794542,16.683508,10.801891,0.000000,6.189124,6.037695,0.151346,0.046041,0.015459,0.948334,632,8095670,136071,0,5408
70653,16.665958,16.542503,10.566836,0.000000,6.142001,5.943696,0.198263,0.048208,0.012417,1.268501,630,8064934,143910,0,5408
70654,16.739792,16.636402,11.459747,0.000000,5.804334,5.802127,0.002207,0.054916,0.018375,0.606500,643,8086209,138325,0,7210
70655,16.632583,16.506894,10.578678,0.000000,6.728167,6.727696,0.000388,0.049500,0.010250,0.995624,627,8064809,123447,0,5408
70656,16.843500,16.673602,10.680196,0.000000,6.601250,6.438113,0.163012,0.048958,0.011750,0.292834,653,8064768,129004,0,5408
70657,16.529667,16.407548,11.168331,0.000000,6.349625,6.348362,0.001138,0.053083,0.042708,1.276708,638,8071073,131235,0,7210
70658,16.610041,16.527415,11.217547,0.000000,6.708958,6.706279,0.002596,0.050084,0.012458,0.291125,632,8080227,121916,0,5408
70659,16.819000,16.699245,10.820427,0.000000,6.440832,6.396862,0.043845,0.041000,0.016834,0.946917,633,8095634,132503,0,5408
70660,16.671042,16.541584,10.713710,0.000000,6.432666,6.311737,0.120846,0.044750,0.012292,0.289125,638,8055659,130888,0,7210
70661,16.718375,16.618917,10.512194,0.000000,6.889083,6.743696,0.145304,0.041833,0.043917,1.301167,632,8080170,121798,0,5408
70662,16.568292,16.437579,11.099116,0.000000,6.363666,6.362362,0.001179,0.042708,0.043708,0.966458,631,8080254,130085,0,5408
70663,16.885333,16.769453,10.847392,0.000000,6.392250,6.247487,0.144680,0.043542,0.017416,0.656791,639,8071025,133004,0,7210
70664,16.582042,16.442575,10.379125,0.000000,6.839417,6.702654,0.136680,0.045833,0.011167,0.981624,631,8080221,121278,0,5408
70665,16.583000,16.503080,10.929590,0.000000,6.440917,6.440613,0.000179,0.049291,0.019542,0.304208,641,8102183,131358,0,7186
70666,16.806666,16.738258,10.734999,0.000000,6.609458,6.459529,0.149846,0.093125,0.029500,0.980666,632,8064533,131638,0,5432
70667,16.675875,16.503827,10.387467,0.000000,6.890208,6.746862,0.143221,0.057709,0.011625,0.435542,628,8064788,121117,0,5408
70668,16.693042,16.582119,10.501105,0.000000,6.600959,6.434696,0.166221,0.046750,0.053292,1.043500,642,8101887,130423,0,7210
