frame,total_ms,cpu_wall_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks
11717,16.683125,16.678039,0.000000,5.723667,5.590944,0.132181,0.051041,0.013959,1.292208,640,8070952,146960,0,7210
11718,16.635125,16.620873,0.000000,5.657084,5.541168,0.115666,0.049250,0.011125,1.267168,631,8080185,146789,0,5408
11719,16.885041,16.881902,0.000000,6.000249,5.814069,0.186097,0.054792,0.014542,0.306125,633,8095674,144755,0,5408
11720,16.492625,16.442753,0.000000,5.656334,5.539861,0.116056,0.044000,0.009750,0.978000,638,8040133,143874,0,7210
11721,16.940625,16.984626,0.000000,5.754668,5.618153,0.135889,0.069625,0.021417,0.631208,635,8126689,147709,0,5408
11722,16.377125,16.336635,0.000000,5.407959,5.344000,0.063667,0.054334,0.013708,0.970750,629,8064646,143249,0,5408
11723,16.818084,16.783586,0.000000,5.744251,5.610569,0.133306,0.046333,0.012000,0.635125,641,8071023,145865,0,7210
11724,16.667250,16.641228,0.000000,5.681291,5.560861,0.120180,0.049625,0.014541,0.963542,631,8064887,143561,0,5408
11725,16.409541,16.415507,0.000000,5.750624,5.619319,0.131014,0.054209,0.013166,0.937542,640,8171224,148697,0,5750
11726,16.496000,16.526210,0.000000,4.667667,4.667249,0.000209,0.049875,0.140917,0.652292,640,8038956,166350,0,7362
11727,17.118709,17.035584,0.000000,4.835459,4.805668,0.029582,0.052000,0.025041,0.962084,629,8017119,162998,0,5661
11728,16.648875,16.618164,0.000000,5.537125,5.522792,0.013917,0.053458,0.014875,0.607333,633,8095712,148159,0,5408
11729,16.667541,16.675367,0.000000,5.413125,5.344944,0.067806,0.058334,0.023166,1.227625,640,8070985,149499,0,7210
11730,16.219334,16.389532,0.000000,5.570291,5.471195,0.098847,0.049250,0.232208,0.609750,633,8095664,149038,0,5408
11731,17.172041,16.961168,0.000000,5.118333,5.111375,0.006875,0.068167,0.032292,0.934583,630,8064779,152279,0,5408
11732,16.654084,16.659668,0.000000,4.775416,4.771708,0.003292,0.062750,0.016125,0.585792,640,8071029,147765,0,7210
11733,16.767250,16.740000,0.000000,5.489167,5.405861,0.082930,0.052625,0.029708,0.613250,632,8080204,146343,0,5408
11734,16.652291,16.642139,0.000000,5.500584,5.407875,0.092542,0.056709,0.019500,1.135250,632,8080429,145264,0,5408
11735,16.712875,16.666124,0.000000,5.760042,5.622527,0.137056,0.053500,0.013125,0.608375,640,8055388,144871,0,7210
11736,16.688542,16.726012,0.000000,5.619917,5.511445,0.107972,0.057042,0.038916,0.935834,633,8111089,146732,0,5408
11737,16.633750,16.570675,0.000000,5.486125,5.404028,0.081722,0.052208,0.014167,0.647125,630,8049336,146629,0,5408
11738,16.637042,16.626918,0.000000,5.638499,5.520694,0.117514,0.051083,0.017250,1.298125,640,8070998,146680,0,7210
11739,16.763458,16.759668,0.000000,5.429000,5.360292,0.068583,0.055292,0.014708,0.611541,634,8095673,148529,0,5408
11740,16.680292,16.663454,0.000000,5.579000,5.578208,0.000500,0.057666,0.021542,0.957792,632,8086499,146448,0,5408
11741,16.619250,16.584886,0.000000,5.608208,5.498319,0.109556,0.059666,0.017459,0.943125,639,8064812,147425,0,7210
11742,16.770208,16.760532,0.000000,5.711750,5.584653,0.126805,0.052458,0.017084,0.667916,632,8080367,146915,0,5408
11743,16.662875,16.625495,0.000000,5.741500,5.740458,0.000667,0.050708,0.011750,0.666500,629,8064594,145625,0,5408
