frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other
17548,16.637458,16.502027,12.003582,0.000000,4.696500,4.696014,0.000194,0.067083,0.029000,0.738875,631,8080256,141604,0,5408,0,2,5406,0,3510,1896,0,0
17549,16.661542,16.567242,12.309842,0.000000,4.769500,4.769056,0.000236,0.062583,0.033542,0.616083,640,8071008,142637,0,7210,0,2,7208,0,4680,2528,0,0
17550,16.668083,16.503254,11.307943,0.000000,5.241082,5.218596,0.022320,0.062208,0.012042,0.904167,632,8080252,142813,0,5408,0,2,5406,0,3510,1896,0,0
17551,16.200333,16.283951,10.902211,0.000000,5.383500,5.312431,0.070777,0.060917,0.270667,0.428292,650,8231374,150434,0,6056,0,2,6054,0,3510,2544,0,0
17552,17.098917,16.809885,11.631459,0.000000,5.211916,5.202805,0.008778,0.070333,0.037917,0.919707,631,7916294,148016,0,7210,0,2,7208,0,4680,2528,0,0
17553,16.707833,16.574365,11.021612,0.000000,5.560166,5.462263,0.097612,0.060000,0.021917,0.350459,628,8080263,143743,0,5408,0,2,5406,0,3510,1896,0,0
17554,16.672292,16.561041,11.027294,0.000000,5.529916,5.422056,0.107361,0.060083,0.014125,1.058625,633,8080225,142718,0,5408,0,2,5406,0,3510,1896,0,0
17555,16.689167,16.586456,10.891130,0.000000,5.714875,5.570180,0.144361,0.069750,0.015125,1.074792,639,8070968,143311,0,7210,0,2,7208,0,4680,2528,0,0
17556,16.713958,16.584001,10.999154,0.000000,5.602875,5.497638,0.104820,0.059000,0.017708,0.612042,631,8080235,143297,0,5408,0,2,5406,0,3510,1896,0,0
17557,16.681083,16.549835,11.333074,0.000000,5.202457,5.164014,0.038152,0.071542,0.017250,0.905166,634,8080259,142750,0,5408,0,2,5406,0,3510,1896,0,0
17558,16.637959,16.507404,11.158870,0.000000,5.348418,5.300431,0.047570,0.068958,0.013667,0.305042,639,8071155,143148,0,7210,0,2,7208,0,4680,2528,0,0
