frame,acquire_begin_time_s,acquire_end_time_s,registered_time_s,presented_time_s
45,542415.182057417,542415.182099958,542415.182151292,542415.205353292
46,542415.198400667,542415.198442083,542415.198487583,542415.222019917
47,542415.214296000,542415.214343625,542415.214399792,542415.238686583
48,542415.230919083,542415.230965667,542415.231009417,542415.255353208
49,542415.246746792,542415.246784167,542415.246826292,542415.272019958
50,542415.262521208,542415.262564917,542415.262620833,542415.288686667
51,542415.278807958,542415.278852250,542415.278892875,542415.305353292
52,542415.294719333,542415.294756917,542415.294805333,542415.322020000
53,542415.310660042,542415.310691750,542415.310740792,542415.338686667
54,542415.327385208,542415.327416625,542415.327466708,542415.355353375
55,542415.343670125,542415.343704125,542415.343743708,542415.372020042
56,542415.359618500,542415.359653375,542415.359692083,542415.388686708
57,542415.376374083,542415.376413000,542415.376478542,542415.405353375
58,542415.393930000,542415.393965959,542415.394019500,542415.422020083
59,542415.409894875,542415.409930792,542415.409977250,542415.438686708
60,542415.426136500,542415.426172958,542415.426225833,542415.455353375
61,542415.443633792,542415.443670958,542415.443735042,542415.472020125
62,542415.459944375,542415.459976667,542415.460030250,542415.488686792
63,542415.476612500,542415.476647500,542415.476692333,542415.505353500
64,542415.492359250,542415.492392667,542415.492436000,542415.522020167
65,542415.507370250,542415.507399708,542415.507438959,542415.538686875
66,542415.522657333,542415.524348500,542415.524395708,542415.555353459
67,542415.539351750,542415.539384167,542415.539422417,542415.572020125
68,542415.554541708,542415.554579792,542415.554619042,542415.588686834
69,542415.569332667,542415.569367000,542415.569405250,542415.605353542
70,542415.584213208,542415.584248459,542415.584286375,542415.622020209
71,542415.599203583,542415.599239750,542415.599281083,542415.638686875
72,542415.614385958,542415.614421250,542415.614482042,542415.655353500
73,542415.630869083,542415.630909000,542415.630975875,542415.672020125
74,542415.648429333,542415.648478750,542415.648541208,542415.688686875
75,542415.665162125,542415.665199625,542415.665262625,542415.705353542
76,542415.681361083,542415.681403250,542415.681455292,542415.722020208
77,542415.698046583,542415.698102125,542415.698161042,542415.738686833
78,542415.714427500,542415.714475167,542415.714524667,542415.755353542
79,542415.731024334,542415.731068958,542415.731124792,542415.772020250
80,542415.747309375,542415.747346000,542415.747391583,542415.788686917
81,542415.762841125,542415.762884125,542415.762929583,542415.805353542
82,542415.778485833,542415.778526875,542415.778574208,542415.822020292
83,542415.794606458,542415.794643042,542415.794690125,542415.838686917
84,542415.811624917,542415.811662708,542415.811733500,542415.855353625
85,542415.829875000,542415.829918500,542415.829994708,542415.872020292
86,542415.846734167,542415.846773917,542415.846827792,542415.888686958
87,542415.862817042,542415.862857334,542415.862910250,542415.905353625
88,542415.878952417,542415.878990292,542415.879057417,542415.922020292
89,542415.896642667,542415.896694667,542415.896765292,542415.938687042
90,542415.913834417,542415.913876167,542415.913931417,542415.955353667
91,542415.930138042,542415.930182125,542415.930230500,542415.972020333
92,542415.946285917,542415.946333334,542415.946389792,542415.988687000
93,542415.961753417,542415.961788875,542415.961832792,542416.005353667
94,542415.977368417,542415.977404833,542415.977455958,542416.022020375
95,542415.993803042,542415.993841000,542415.993903500,542416.038687000
96,542416.010278792,542416.010313417,542416.010371917,542416.055353708
97,542416.025414458,542416.025447417,542416.025493583,542416.072020417
98,542416.041264542,542416.041295209,542416.041338917,542416.088687000
99,542416.056561000,542416.056668583,542416.056721750,542416.105353667
100,542416.071930583,542416.073337292,542416.073396875,542416.122020375
101,542416.088958167,542416.089953500,542416.090003667,542416.138687000
102,542416.105552667,542416.106632375,542416.106686375,542416.155353750
103,542416.122214583,542416.123298917,542416.123348500,542416.172020333
104,542416.138898958,542416.139965625,542416.140013917,542416.188687042
