frame,acquire_begin_time_s,acquire_end_time_s,registered_time_s,presented_time_s
72,542801.593073625,542801.593125417,542801.593200875,542801.620529167
73,542801.628313458,542801.628351250,542801.628416542,542801.653862375
74,542801.670428500,542801.670483583,542801.670550250,542801.703862208
75,542801.708510292,542801.708573958,542801.709002875,542801.737195333
76,542801.747599958,542801.747681958,542801.747804875,542801.770528458
77,542801.791048208,542801.791102250,542801.791209708,542801.820528250
78,542801.828263709,542801.828316167,542801.828411208,542801.853861417
79,542801.871537750,542801.871606500,542801.871723167,542801.903861125
80,542801.909313000,542801.909358042,542801.909427292,542801.937194333
81,542801.952508625,542801.952574500,542801.952699625,542801.970527417
82,542801.989302500,542801.989370292,542801.989485208,542802.020527208
83,542802.026209458,542802.026256750,542802.026325333,542802.053860333
84,542802.066504500,542802.066550625,542802.066621500,542802.087193500
85,542802.103445917,542802.103489875,542802.103555667,542802.137193208
86,542802.144405500,542802.144449500,542802.144521083,542802.170526375
87,542802.178361750,542802.178417333,542802.178488375,542802.203859542
88,542802.214549708,542802.214597875,542802.214667750,542802.237192667
89,542802.257093333,542802.257136750,542802.257208458,542802.287192333
90,542802.298580667,542802.298648583,542802.298766542,542802.320525542
91,542802.341860292,542802.341902417,542802.341971667,542802.370525208
92,542802.385293500,542802.385333208,542802.385398750,542802.403858292
93,542802.419553208,542802.419600167,542802.419663833,542802.437191500
94,542802.463669917,542802.463738208,542802.463852292,542802.487191167
95,542802.497404125,542802.497472208,542802.497603667,542802.520524292
96,542802.541652333,542802.541700208,542802.541786083,542802.570524000
97,542802.586137292,542802.586215958,542802.586336792,542802.603857125
98,542802.624294708,542802.624345000,542802.624410875,542802.653856833
99,542802.664240750,542802.664320208,542802.664444167,542802.687189958
100,542802.705947292,542802.706006875,542802.706115542,542802.737189583
101,542802.748857708,542802.748915625,542802.749036125,542802.770522708
102,542802.788289167,542802.788353292,542802.788468208,542802.820522333
103,542802.829997083,542802.830071667,542802.830185750,542802.853855500
104,542802.867694583,542802.867765458,542802.867882667,542802.887188542
